Model,TrainYears,TestYears,PR-AUC(AP),ROC-AUC,Brier,Test_N,Test_Positives,Recall@100,EW_Recall@100,Recall@250,EW_Recall@250,Recall@500,EW_Recall@500,Recall@1000,EW_Recall@1000,Recall@2500,EW_Recall@2500,Recall@5000,EW_Recall@5000
A0_EPSS_only,2021-2023,2024-2025,0.2678618606514725,0.9568410886833771,0.003248688478829183,90676,331,0.1782477341389728,0.19480519480519481,0.2326283987915408,0.2510822510822511,0.3293051359516616,0.36796536796536794,0.47129909365558914,0.5411255411255411,0.7069486404833837,0.7748917748917749,0.8096676737160121,0.8658008658008658
A2_EPSS_CTIpre,2021-2023,2024-2025,0.23427837591806963,0.9570187226240332,0.0032995532520734335,90676,331,0.17522658610271905,0.19047619047619047,0.229607250755287,0.24675324675324675,0.32628398791540786,0.36363636363636365,0.4743202416918429,0.5454545454545454,0.7039274924471299,0.7705627705627706,0.8066465256797583,0.8614718614718615
A1_EPSS_NVD,2021-2023,2024-2025,0.16811491009161514,0.9574607509080247,0.0032877223550997767,90676,331,0.08761329305135952,0.08225108225108226,0.19939577039274925,0.19913419913419914,0.311178247734139,0.33766233766233766,0.486404833836858,0.5281385281385281,0.6918429003021148,0.7186147186147186,0.8036253776435045,0.8095238095238095
A3_Hybrid,2021-2023,2024-2025,0.159121831278241,0.9575717386808105,0.0033075412865760105,90676,331,0.08157099697885196,0.0735930735930736,0.19637462235649547,0.19480519480519481,0.31419939577039274,0.33766233766233766,0.48942598187311176,0.5238095238095238,0.6918429003021148,0.7186147186147186,0.8036253776435045,0.8095238095238095
